grantee,url,amount,date,program,purpose
Silicon Valley Creates,https://hewlett.org/grants/silicon-valley-creates-for-theory-of-change-consultant-services-for-the-artsopolis-marketing-partnership-0/,930,2006-02-17,Performing Arts,For Theory Of Change Consultant Services For The Artsopolis Marketing Partnership
Communications Leadership Institute,https://hewlett.org/grants/communications-leadership-institute-for-the-2006-leadership-development-program-0/,65500,2006-02-17,Effective Philanthropy,For The 2006 Leadership Development Program
Forum of Regional Associations of Grantmakers,https://hewlett.org/grants/forum-of-regional-associations-of-grantmakers-for-planning-on-grantmaker-education/,9000,2006-02-17,Effective Philanthropy,For Planning On Grantmaker Education
Environmental Law and Policy Center,https://hewlett.org/grants/environmental-law-and-policy-center-for-support-of-a-strategic-assessment-of-a-great-plains-expansion-program/,40000,2006-02-14,Environment,For Support Of A Strategic Assessment Of A Great Plains Expansion Program
Yale University,https://hewlett.org/grants/yale-university-for-general-support-of-the-leadership-training-program-designed-to-serve-those-in-the-most-senior-ranks-of-chinese-governmental-officials/,200000,2006-02-14,Special Projects,For General Support Of The Leadership Training Program Designed To Serve Those In The Most Senior Ranks Of Chinese Governmental Officials
Greater Washington Educational Telecommunications Association,https://hewlett.org/grants/greater-washington-educational-telecommunications-association-for-continuation-of-the-by-the-people-project-0/,40000,2006-02-14,Special Projects,For Continuation Of The By The People Project
American Enterprise Institute for Public Policy Research,https://hewlett.org/grants/american-enterprise-institute-for-public-policy-research-for-support-of-the-special-initiative-to-reduce-the-need-for-abortion/,180000,2006-02-03,Global Development and Population,For Support Of The Special Initiative To Reduce The Need For Abortion
"Education, Training and Research Associates",https://hewlett.org/grants/education-training-and-research-associates-for-support-of-the-special-initiative-to-reduce-the-need-for-abortion/,310000,2006-02-03,Global Development and Population,For Support Of The Special Initiative To Reduce The Need For Abortion
Brookings Institution,https://hewlett.org/grants/brookings-institution-for-support-of-the-special-initiative-to-reduce-the-need-for-abortion/,185000,2006-02-03,Global Development and Population,For Support Of The Special Initiative To Reduce The Need For Abortion
Guttmacher Institute,https://hewlett.org/grants/guttmacher-institute-for-support-of-the-special-initiative-to-reduce-the-need-for-abortion/,515000,2006-02-03,Global Development and Population,For Support Of The Special Initiative To Reduce The Need For Abortion
Silicon Valley Community Foundation,https://hewlett.org/grants/silicon-valley-community-foundation-for-general-operating-support/,100000,2006-02-02,Special Projects,For General Operating Support
PATH,https://hewlett.org/grants/path-for-research-on-reproductive-health-technologies/,200000,2006-02-02,Global Development and Population,For Research On Reproductive Health Technologies
Indiana University,https://hewlett.org/grants/indiana-university-for-job-search-services-to-hire-a-director-of-the-philanthropy-incubator/,37087,2006-02-02,Effective Philanthropy,For Job Search Services To Hire A Director Of The Philanthropy Incubator
Stanford University,https://hewlett.org/grants/stanford-university-for-the-initial-planning-phase-of-an-effort-to-analyze-and-reform-the-institutional-structure-of-californias-political-system/,10000,2006-02-02,Special Projects,For The Initial Planning Phase Of An Effort To Analyze And Reform The Institutional Structure Of California's Political System
West Bay Opera Association,https://hewlett.org/grants/west-bay-opera-association-for-accounting-service-fees/,6000,2006-01-30,Performing Arts,For Accounting Service Fees
Stanford University,https://hewlett.org/grants/stanford-university-for-a-project-to-identify-existing-research-and-practices-in-applying-efficiency-concepts-to-improve-california-community-colleges/,50000,2006-01-23,Education,For A Project To Identify Existing Research And Practices In Applying Efficiency Concepts To Improve California Community Colleges
SRI International,https://hewlett.org/grants/sri-international-for-writing-case-studies-on-teachers-uses-of-formative-assessment-for-literacy-instruction-based-on-research-conducted-at-two-school-districts/,30000,2006-01-23,Education,For Writing Case Studies On Teachers' Uses Of Formative Assessment For Literacy Instruction Based On Research Conducted At Two School Districts
San Jose Repertory Theatre,https://hewlett.org/grants/san-jose-repertory-theatre-for-general-support-0/,150000,2006-01-23,Performing Arts,For General Support
Partnership for a Secure America,https://hewlett.org/grants/partnership-for-a-secure-america-for-general-operating-support/,150000,2006-01-15,Special Projects,For General Operating Support
European Association of Distance Teaching Universities,https://hewlett.org/grants/european-association-of-distance-teaching-universities-for-the-multilingual-open-resources-for-independent-learning-project/,75000,2007-12-13,Education,For The Multilingual Open Resources For Independent Learning Project
Harvard University,https://hewlett.org/grants/harvard-university-for-exploring-the-intersection-of-open-content-licenses-and-foundation-policies/,15000,2007-12-13,Education,For Exploring The Intersection Of Open Content Licenses And Foundation Policies
Community Initiatives,https://hewlett.org/grants/community-initiatives-for-the-california-school-funding-and-governance-project/,575000,2007-12-11,Education,For The California School Funding And Governance Project
Fundação de Apoio à Universidade de São Paulo,https://hewlett.org/grants/fundacao-de-apoio-a-universidade-de-sao-paulo-for-a-field-study-of-vehicle-pollution-in-major-brazilian-cities/,120000,2007-12-11,Environment,For A Field Study Of Vehicle Pollution In Major Brazilian Cities
Fresno County Office of Education,https://hewlett.org/grants/fresno-county-office-of-education-for-the-governors-committee-on-education-excellence/,225000,2007-12-11,Education,For The Governor's Committee On Education Excellence
Communities for a Better Environment,https://hewlett.org/grants/communities-for-a-better-environment-for-a-planning-grant-for-work-on-air-pollution-from-the-ports/,30000,2007-12-11,Environment,For A Planning Grant For Work On Air Pollution From The Ports
Tides Center,https://hewlett.org/grants/tides-center-for-the-cpuc-california-public-utilities-commission-communications-fellow-1/,23000,2007-12-11,Environment,For The CPUC (California Public Utilities Commission) Communications Fellow
San Francisco Museum of Modern Art,https://hewlett.org/grants/san-francisco-museum-of-modern-art-for-support-to-expand-the-contemporary-vernacular-performing-arts-program/,200000,2007-12-11,Performing Arts,For Support To Expand The Contemporary Vernacular Performing Arts Program
Consultative Group on Biological Diversity,https://hewlett.org/grants/consultative-group-on-biological-diversity-for-the-health-and-environmental-funders-network-project/,30000,2007-12-11,Environment,For The Health And Environmental Funders Network Project
Council for a Strong America,https://hewlett.org/grants/council-for-a-strong-america-for-engaging-law-enforcement-leaders-as-advocates-for-education-reform/,270000,2007-12-11,Education,For Engaging Law Enforcement Leaders As Advocates For Education Reform
Cultural Arts Council of Sonoma County,https://hewlett.org/grants/cultural-arts-council-of-sonoma-county-for-general-support-1/,100000,2007-12-11,Performing Arts,For General Support
Magic Theatre,https://hewlett.org/grants/magic-theatre-for-an-executive-search/,29000,2007-12-11,Performing Arts,For An Executive Search
Z Space Studio,https://hewlett.org/grants/z-space-studio-for-general-support-1/,15000,2007-12-10,Performing Arts,For General Support
KITKA,https://hewlett.org/grants/kitka-for-strategic-planning/,25000,2007-12-10,Performing Arts,For Strategic Planning
Theatre Bay Area,https://hewlett.org/grants/theatre-bay-area-for-general-support-of-cah-the-creative-assistance-for-the-small-and-hungry-regranting-program-1/,170000,2007-12-10,Performing Arts,"For General Support Of CA$H, The Creative Assistance For The Small And Hungry Regranting Program"
Performing Arts Workshop,https://hewlett.org/grants/performing-arts-workshop-for-capacity-building/,150000,2007-12-10,Performing Arts,For Capacity Building
Intersection for the Arts,https://hewlett.org/grants/intersection-for-the-arts-for-facility-purchase-and-renovation/,200000,2007-12-10,Performing Arts,For Facility Purchase And Renovation
Fresno Metro Ministry,https://hewlett.org/grants/fresno-metro-ministry-for-strategic-planning-and-leadership-transition-planning/,40000,2007-12-10,Environment,For Strategic Planning And Leadership Transition Planning
Energy Foundation,https://hewlett.org/grants/energy-foundation-for-general-support-4/,6000000,2007-12-10,Environment,For General Support
International Sustainable Systems Research Center,https://hewlett.org/grants/international-sustainable-systems-research-center-for-initial-work-on-air-quality-plans-for-select-cities-in-latin-america/,100000,2007-12-07,Environment,For Initial Work On Air Quality Plans For Select Cities In Latin America
Tides Canada Foundation,https://hewlett.org/grants/tides-canada-foundation-for-the-coast-opportunities-foundation-fund/,3378987,2007-12-07,Environment,For The Coast Opportunities Foundation Fund
Tides Center,https://hewlett.org/grants/tides-center-for-editors-world/,200000,2007-12-07,Global Development and Population,For Editors' World
Centro Mexicano de Derecho Ambiental,https://hewlett.org/grants/centro-mexicano-de-derecho-ambiental-for-general-support-of-the-union-de-cientificos-comprometidos-con-la-sociedad/,200000,2007-12-07,Environment,For General Support Of The Union De Cientificos Comprometidos Con La Sociedad
Woodrow Wilson International Center for Scholars,https://hewlett.org/grants/woodrow-wilson-international-center-for-scholars-for-a-publication-on-the-impact-of-how-the-u-s-promotes-global-development-in-the-21st-century/,40020,2007-12-07,Global Development and Population,For A Publication On The Impact Of How The U.S. Promotes Global Development In The 21st Century
Western Resource Advocates,https://hewlett.org/grants/western-resource-advocates-for-the-oil-shale-project/,200000,2007-12-07,Environment,For The Oil Shale Project
Bipartisan Policy Center,https://hewlett.org/grants/bipartisan-policy-center-for-a-project-to-engage-new-constituencies-in-the-national-climate-change-debate/,485000,2007-12-07,Environment,For A Project To Engage New Constituencies In The National Climate Change Debate
Murie Center,https://hewlett.org/grants/murie-center-for-organizational-restructuring-and-to-develop-a-marketing-plan/,15000,2007-12-07,Environment,For Organizational Restructuring And To Develop A Marketing Plan
WestEd,https://hewlett.org/grants/wested-for-the-closing-the-achievement-gap-initiative/,200000,2007-12-07,Education,"For The ""Closing The Achievement Gap Initiative"""
Coalition for Clean Air,https://hewlett.org/grants/coalition-for-clean-air-for-communications-work-on-the-achieving-clean-air-in-the-san-joaquin-valley-report/,15000,2007-12-07,Environment,For Communications Work On The Achieving Clean Air In The San Joaquin Valley Report
COFEM,https://hewlett.org/grants/cofem-for-general-support-of-the-health-and-environment-program/,100000,2007-12-07,Environment,For General Support Of The Health And Environment Program
Institute for Transportation and Development Policy,https://hewlett.org/grants/institute-for-transportation-and-development-policy-for-translation-and-publication-of-a-bus-rapid-transit-system-manual/,200000,2007-12-07,Environment,For Translation And Publication Of A Bus Rapid Transit System Manual
Utah Department of Environmental Quality,https://hewlett.org/grants/utah-department-of-environmental-quality-for-the-utah-greenhouse-gas-policy-initiative-0/,200000,2007-12-07,Environment,For The Utah Greenhouse Gas Policy Initiative
Alliance Publishing Trust,https://hewlett.org/grants/alliance-publishing-trust-for-increased-dissemination-of-the-december-2007-issue-on-measuring-impact/,10000,2007-12-07,Effective Philanthropy,For Increased Dissemination Of The December 2007 Issue On Measuring Impact
Resources Legacy Fund,https://hewlett.org/grants/resources-legacy-fund-for-ensuring-the-effective-expenditure-of-conservation-related-public-bond-funds/,200000,2007-12-07,Environment,For Ensuring The Effective Expenditure Of Conservation-related Public Bond Funds
Energy Foundation,https://hewlett.org/grants/energy-foundation-for-general-support-5/,4000000,2007-12-07,Environment,For General Support
International Council on Clean Transportation,https://hewlett.org/grants/international-council-on-clean-transportation-for-a-vehicle-survey-along-the-mexico-border/,30000,2007-12-07,Environment,For A Vehicle Survey Along The Mexico Border
Outward Bound,https://hewlett.org/grants/outward-bound-for-the-bay-area-outward-bound-urban-center/,100000,2007-12-07,Environment,For The Bay Area Outward Bound Urban Center
Corporate Council on Africa,https://hewlett.org/grants/corporate-council-on-africa-for-designing-an-agribusiness-program-for-business-schools-in-african-universities/,50000,2007-12-07,Global Development and Population,For Designing An Agribusiness Program For Business Schools In African Universities
University of Georgia,https://hewlett.org/grants/university-of-georgia-for-creation-of-a-training-module-on-newsu-to-help-media-organizations-better-cover-global-issues/,106000,2007-12-07,Global Development and Population,For Creation Of A Training Module On NewsU To Help Media Organizations Better Cover Global Issues
Environmental Justice Coalition for Water,https://hewlett.org/grants/environmental-justice-coalition-for-water-for-management-restructuring/,15000,2007-12-07,Environment,For Management Restructuring
Justice Matters Institute,https://hewlett.org/grants/justice-matters-institute-for-an-executive-search/,20000,2007-12-07,Education,For An Executive Search
Pacific News Service/New America Media,https://hewlett.org/grants/pacific-news-service-new-america-media-for-the-a-green-beat-for-ethnic-media-plan/,30000,2007-12-07,Environment,For The A Green Beat For Ethnic Media Plan
Research and Planning Group of California Community Colleges,https://hewlett.org/grants/research-and-planning-group-of-california-community-colleges-for-program-management-system-building-and-strategic-planning/,40000,2007-12-07,Education,For Program Management System Building And Strategic Planning
California Budget Project,https://hewlett.org/grants/california-budget-project-for-building-capacity-to-analyze-education-finance-issues/,450000,2007-12-07,Education,For Building Capacity To Analyze Education Finance Issues
Chhandam Chitresh Das Dance Company,https://hewlett.org/grants/chhandam-chitresh-das-dance-company-for-fund-development/,32000,2007-12-07,Performing Arts,For Fund Development
EdVoice Institute for Research and Education,https://hewlett.org/grants/edvoice-institute-for-research-and-education-for-a-technical-assistance-project-on-school-finance-reform/,168000,2007-12-07,Education,For A Technical Assistance Project On School Finance Reform
Fritz Institute,https://hewlett.org/grants/fritz-institute-for-disseminating-a-model-to-increase-the-effectiveness-of-african-humanitarian-organizations/,50000,2007-12-07,Global Development and Population,For Disseminating A Model To Increase The Effectiveness Of African Humanitarian Organizations
Horizons Foundation,https://hewlett.org/grants/horizons-foundation-for-general-support-of-a-performing-arts-regranting-program/,30000,2007-12-07,Performing Arts,For General Support Of A Performing Arts Regranting Program
Grantmakers Concerned with Immigrants and Refugees,https://hewlett.org/grants/grantmakers-concerned-with-immigrants-and-refugees-for-a-funders-handbook-on-the-role-of-community-colleges-in-promoting-immigrant-integration/,65000,2007-12-06,Education,For A Funders' Handbook On The Role Of Community Colleges In Promoting Immigrant Integration
Environmental Defense Fund,https://hewlett.org/grants/environmental-defense-fund-for-the-clean-air-for-life-campaign/,100000,2007-12-06,Environment,For The Clean Air For Life Campaign
University of Southern California,https://hewlett.org/grants/university-of-southern-california-for-developing-a-communications-plan/,35000,2007-12-06,Education,For Developing A Communications Plan
Creative Commons,https://hewlett.org/grants/creative-commons-for-assessment-and-improvement-of-legal-department-and-overall-organizational-infrastructure/,25000,2007-12-06,Education,For Assessment And Improvement Of Legal Department And Overall Organizational Infrastructure
University of California at Santa Cruz,https://hewlett.org/grants/university-of-california-at-santa-cruz-for-a-forum-with-leading-experts-in-the-field-of-oral-language-development/,100000,2007-12-06,Education,For A Forum With Leading Experts In The Field Of Oral Language Development
American Bar Association Fund for Justice and Education,https://hewlett.org/grants/american-bar-association-fund-for-justice-and-education-for-support-of-the-aba-diversity-fellowship-in-environmental-law-program/,35000,2007-12-06,Environment,For Support Of The ABA Diversity Fellowship In Environmental Law Program
Tides Canada Foundation,https://hewlett.org/grants/tides-canada-foundation-for-the-coast-opportunties-foundation-donor-advised-fund/,3434245,2007-12-05,Environment,For The Coast Opportunties Foundation Donor Advised Fund
International Centre for Trade and Sustainable Development,https://hewlett.org/grants/international-centre-for-trade-and-sustainable-development-for-communications-planning-and-the-creation-of-an-evaluation-system/,50000,2007-12-04,Global Development and Population,For Communications Planning And The Creation Of An Evaluation System
National Center for Family Philanthropy,https://hewlett.org/grants/national-center-for-family-philanthropy-for-developing-a-branding-strategy/,50000,2007-12-03,Effective Philanthropy,For Developing A Branding Strategy
Educational Broadcasting Corporation,https://hewlett.org/grants/educational-broadcasting-corporation-for-fund-development-planning/,42000,2007-12-03,Education,For Fund Development Planning
Bread for the World Institute,https://hewlett.org/grants/bread-for-the-world-institute-for-developing-a-communications-strategy/,65000,2007-11-30,Global Development and Population,For Developing A Communications Strategy
National Parks and Conservation Association,https://hewlett.org/grants/national-parks-and-conservation-association-for-strategic-planning-and-media-strategy-for-the-crown-of-the-continent-initiative/,50000,2007-11-30,Environment,For Strategic Planning And Media Strategy For The Crown Of The Continent Initiative
Academy for Educational Development,https://hewlett.org/grants/academy-for-educational-development-for-development-of-a-strategy-to-expand-and-diversify-the-basic-education-coalitions-funding-base/,30000,2007-11-30,Global Development and Population,For Development Of A Strategy To Expand And Diversify The Basic Education Coalition's Funding Base
Rostros y Voces,https://hewlett.org/grants/rostros-y-voces-for-general-support-of-the-flood-relief-program/,100000,2007-11-30,Global Development and Population,For General Support Of The Flood Relief Program
New Media for Nonprofits,https://hewlett.org/grants/new-media-for-nonprofits-for-expansion-of-issuelab-an-online-archive-of-nonprofit-research-0/,50000,2007-11-30,Effective Philanthropy,"For Expansion Of IssueLab, An Online Archive Of Nonprofit Research"
Greenbelt Alliance,https://hewlett.org/grants/greenbelt-alliance-for-a-new-executive-director-search/,60000,2007-11-30,Environment,For A New Executive Director Search
Stanford University,https://hewlett.org/grants/stanford-university-for-an-evaluation-of-educations-opportunity-grants/,20000,2007-11-29,Education,For An Evaluation Of Education's Opportunity Grants
Center for Community Action and Environmental Justice,https://hewlett.org/grants/center-for-community-action-and-environmental-justice-for-general-support-of-the-goods-movement-air-quality-and-development-campaign-programs/,150000,2007-11-19,Environment,"For General Support Of The Goods Movement, Air Quality And Development Campaign Programs"
Architectural Foundation of San Francisco,https://hewlett.org/grants/architectural-foundation-of-san-francisco-for-the-build-san-francisco-programs-expansion-to-include-performing-arts-spaces/,90000,2007-11-19,Performing Arts,For The Build San Francisco Program's Expansion To Include Performing Arts Spaces
Save Our Wild Salmon Coalition,https://hewlett.org/grants/save-our-wild-salmon-coalition-for-a-utility-outreach-and-global-warming-project/,150000,2007-11-19,Environment,For A Utility Outreach And Global Warming Project
Communications Network,https://hewlett.org/grants/communications-network-for-general-support/,50000,2007-11-19,Special Projects,For General Support
National Public Radio,https://hewlett.org/grants/national-public-radio-for-general-support/,900000,2007-11-19,Special Projects,For General Support
Save Our Wild Salmon Coalition,https://hewlett.org/grants/save-our-wild-salmon-coalition-for-a-utility-outreach-and-global-warming-project/,150000,2007-11-19,Environment,For A Utility Outreach And Global Warming Project
Sierra Club of Canada,https://hewlett.org/grants/sierra-club-of-canada-for-general-support-of-cafe-canada-program-0/,125000,2007-11-19,Environment,For General Support Of CAFE Canada Program
International Documentary Association,https://hewlett.org/grants/international-documentary-association-for-preliminary-work-on-a-series-on-the-environment-in-china/,25000,2007-11-19,Environment,For Preliminary Work On A Series On The Environment In China
New Media for Nonprofits,https://hewlett.org/grants/new-media-for-nonprofits-for-expansion-of-issuelab-an-online-archive-of-nonprofit-research/,150000,2007-11-19,Effective Philanthropy,"For Expansion Of IssueLab, An Online Archive Of Nonprofit Research"
Ibis Reproductive Health,https://hewlett.org/grants/ibis-reproductive-health-for-general-operating-support-0/,500000,2007-11-19,Global Development and Population,For General Operating Support
International Union for the Scientific Study of Population,https://hewlett.org/grants/international-union-for-the-scientific-study-of-population-for-general-operating-support/,700000,2007-11-19,Global Development and Population,For General Operating Support
International Development Research Centre,https://hewlett.org/grants/international-development-research-centre-for-general-support-of-the-think-tanks-program/,40000000,2007-11-19,Global Development and Population,For General Support Of The Think Tanks Program
International HIV/AIDS Alliance,https://hewlett.org/grants/international-hiv-aids-alliance-for-efforts-to-strengthen-linkages-between-hiv-aids-and-sexual-and-reproductive-health-activities/,450000,2007-11-19,Global Development and Population,For Efforts To Strengthen Linkages Between HIV/AIDS And Sexual And Reproductive Health Activities
National Center on Time & Learning,https://hewlett.org/grants/national-center-on-time-learning-for-establishing-a-national-clearinghouse-of-information-on-expanded-time-schools/,150000,2007-11-19,Education,For Establishing A National Clearinghouse Of Information On Expanded-time Schools
Presencia Ciudadana Mexicana,https://hewlett.org/grants/presencia-ciudadana-mexicana-for-work-on-public-transportation-policy-1/,320000,2007-11-19,Environment,For Work On Public Transportation Policy
Center for Global Development,https://hewlett.org/grants/center-for-global-development-for-the-international-initiative-for-impact-evaluation-3ie/,2000000,2007-11-19,Global Development and Population,For The International Initiative For Impact Evaluation (3IE)
University of the Witwatersrand,https://hewlett.org/grants/university-of-the-witwatersrand-for-an-assessment-of-financial-and-related-management-systems-at-the-health-and-poverty-division/,30000,2007-11-19,Global Development and Population,For An Assessment Of Financial And Related Management Systems At The Health And Poverty Division
Community College Leadership Development Initiative,https://hewlett.org/grants/community-college-leadership-development-initiative-for-general-support/,250000,2007-11-19,Education,For General Support
Global AIDS Alliance,https://hewlett.org/grants/global-aids-alliance-for-general-operating-support-0/,250000,2007-11-19,Global Development and Population,For General Operating Support
Development Initiatives,https://hewlett.org/grants/development-initiatives-for-a-project-to-improve-access-to-high-quality-timely-information-on-aid-flows/,1200000,2007-11-19,Global Development and Population,"For A Project To Improve Access To High Quality, Timely Information On Aid Flows"
Coalition for Clean Air,https://hewlett.org/grants/coalition-for-clean-air-for-an-environmental-health-fellowship/,250000,2007-11-19,Environment,For An Environmental Health Fellowship
American Institutes for Research,https://hewlett.org/grants/american-institutes-for-research-for-the-california-collaborative-on-district-reform/,750000,2007-11-19,Education,For The California Collaborative On District Reform
Center for Energy Efficiency and Renewable Technologies,https://hewlett.org/grants/center-for-energy-efficiency-and-renewable-technologies-for-general-support-0/,300000,2007-11-19,Environment,For General Support
Performing Arts Workshop,https://hewlett.org/grants/performing-arts-workshop-for-general-support-1/,225000,2007-11-19,Performing Arts,For General Support
Associação O Eco,https://hewlett.org/grants/associacao-o-eco-for-support-of-the-sao-paulo-office-which-is-dedicated-to-reporting-on-urban-air-pollution-issues/,225000,2007-11-19,Environment,For Support Of The São Paulo Office Which Is Dedicated To Reporting On Urban Air Pollution Issues
Architectural Foundation of San Francisco,https://hewlett.org/grants/architectural-foundation-of-san-francisco-for-the-build-san-francisco-programs-expansion-to-include-performing-arts-spaces/,90000,2007-11-19,Performing Arts,For The Build San Francisco Program's Expansion To Include Performing Arts Spaces
Columbia University,https://hewlett.org/grants/columbia-university-for-the-contraceptive-risk-index-and-the-pregnancy-risk-index-project/,100000,2007-11-19,Global Development and Population,For The Contraceptive Risk Index And The Pregnancy Risk Index Project
Ipas,https://hewlett.org/grants/ipas-for-general-operating-support-0/,3750000,2007-11-19,Global Development and Population,For General Operating Support
National Public Radio,https://hewlett.org/grants/national-public-radio-for-general-support/,900000,2007-11-19,Special Projects,For General Support
Center for Energy Efficiency and Renewable Technologies,https://hewlett.org/grants/center-for-energy-efficiency-and-renewable-technologies-for-general-support-0/,300000,2007-11-19,Environment,For General Support
Associação O Eco,https://hewlett.org/grants/associacao-o-eco-for-support-of-the-sao-paulo-office-which-is-dedicated-to-reporting-on-urban-air-pollution-issues/,225000,2007-11-19,Environment,For Support Of The São Paulo Office Which Is Dedicated To Reporting On Urban Air Pollution Issues
Consejo Ciudadano del Premio Nacional de Periodismo,https://hewlett.org/grants/consejo-ciudadano-del-premio-nacional-de-periodismo-for-general-support/,150000,2007-11-19,Global Development and Population,For General Support
Planned Parenthood Mar Monte,https://hewlett.org/grants/planned-parenthood-mar-monte-for-general-support-of-the-teen-services-program/,500000,2007-11-19,Global Development and Population,For General Support Of The Teen Services Program
Creative Capital Foundation,https://hewlett.org/grants/creative-capital-foundation-for-regranting-to-individual-artists-in-the-san-francisco-bay-area/,375000,2007-11-19,Performing Arts,For Regranting To Individual Artists In The San Francisco Bay Area
Reproductive Health Matters,https://hewlett.org/grants/reproductive-health-matters-for-general-operating-support/,345000,2007-11-19,Global Development and Population,For General Operating Support
Institute for Financial Management and Research,https://hewlett.org/grants/institute-for-financial-management-and-research-for-j-pal-south-asia-to-conduct-an-impact-evaluation-of-prathams-read-india/,1225000,2007-11-19,Global Development and Population,For J-PAL South Asia To Conduct An Impact Evaluation Of Pratham's Read India
Flyaway Productions,https://hewlett.org/grants/flyaway-productions-for-general-support-of-the-2008-flyaway-art-and-advocacy-summer-program/,20000,2007-11-19,Performing Arts,For General Support Of The 2008 Flyaway Art And Advocacy Summer Program
Magnificat!,https://hewlett.org/grants/magnificat-for-general-support-0/,50000,2007-11-19,Performing Arts,For General Support
Film Arts Foundation,https://hewlett.org/grants/film-arts-foundation-for-general-support-of-the-teaching-intermedia-literacy-tools-education-program/,150000,2007-11-19,Performing Arts,For General Support Of The Teaching Intermedia Literacy Tools Education Program
Public Policy Institute of California,https://hewlett.org/grants/public-policy-institute-of-california-for-ppics-institutional-development/,100000,2007-11-19,Special Projects,For PPIC's Institutional Development
Nature Conservancy,https://hewlett.org/grants/nature-conservancy-for-the-tongass-futures-roundtable-project/,225000,2007-11-19,Environment,For The Tongass Futures Roundtable Project
Central Valley Community Foundation,https://hewlett.org/grants/central-valley-community-foundation-for-teen-pregnancy-prevention-air-quality-and-overall-capacity-building/,1405000,2007-11-19,Global Development and Population,"For Teen Pregnancy Prevention, Air Quality, And Overall Capacity Building"
Conservation Lands Foundation,https://hewlett.org/grants/conservation-lands-foundation-for-general-support/,200000,2007-11-19,Environment,For General Support
Princeton University,https://hewlett.org/grants/princeton-university-for-general-program-support-of-princeton-universitys-energy-systems-policy-analysis-group-0/,400000,2007-11-19,Environment,For General Program Support Of Princeton University's Energy Systems/Policy Analysis Group
Diablo Regional Arts Association,https://hewlett.org/grants/diablo-regional-arts-association-for-general-support/,120000,2007-11-19,Performing Arts,For General Support
GlobalGiving Foundation,https://hewlett.org/grants/globalgiving-foundation-for-general-support/,600000,2007-11-19,Effective Philanthropy,For General Support
MSI-US,https://hewlett.org/grants/msi-us-for-research-on-social-franchising/,300000,2007-11-19,Global Development and Population,For Research On Social Franchising
Carnegie Hall,https://hewlett.org/grants/carnegie-hall-for-an-evaluation-of-the-academy-program/,216000,2007-11-19,Performing Arts,For An Evaluation Of The Academy Program
Harvard University,https://hewlett.org/grants/harvard-university-for-the-energy-technology-innovation-policy-project/,565000,2007-11-19,Environment,For The Energy Technology Innovation Policy Project
Carnegie Endowment for International Peace,https://hewlett.org/grants/carnegie-endowment-for-international-peace-for-distribution-of-foreign-policy-magazine-to-journalists-editors-and-producers-of-news-programs/,300000,2007-11-19,Global Development and Population,"For Distribution Of Foreign Policy Magazine To Journalists, Editors And Producers Of News Programs"
University of California at Berkeley,https://hewlett.org/grants/university-of-california-at-berkeley-for-general-support-of-the-pacific-film-archive-0/,210000,2007-11-19,Performing Arts,For General Support Of The Pacific Film Archive
Commonwealth Club of California,https://hewlett.org/grants/commonwealth-club-of-california-for-general-operating-support/,6000000,2007-11-19,Education,For General Operating Support
Centro de Transporte Sustentable de Mexico,https://hewlett.org/grants/centro-de-transporte-sustentable-de-mexico-for-general-support-0/,250000,2007-11-19,Environment,For General Support
Institute for Governance and Sustainable Development,https://hewlett.org/grants/institute-for-governance-and-sustainable-development-for-work-on-adjusting-the-montreal-protocol-to-maximize-the-protocols-climate-change-benefits/,300000,2007-11-19,Environment,For Work On Adjusting The Montreal Protocol To Maximize The Protocol's Climate Change Benefits
Trust for Public Land,https://hewlett.org/grants/trust-for-public-land-for-general-support-of-the-parks-for-people-bay-area-program/,500000,2007-11-19,Environment,For General Support Of The Parks For People Bay Area Program
Nature Conservancy,https://hewlett.org/grants/nature-conservancy-for-general-support-of-the-coastal-forests-program/,1050000,2007-11-19,Environment,For General Support Of The Coastal Forests Program
Tides Foundation,https://hewlett.org/grants/tides-foundation-for-regranting-hiv-aids-and-family-planning-reproductive-health-programs-and-research/,1155000,2007-11-19,Global Development and Population,For Regranting HIV/AIDS And Family Planning/reproductive Health Programs And Research
Community Partners,https://hewlett.org/grants/community-partners-for-general-support-of-the-california-environmental-rights-alliance-1/,43000,2007-11-19,Environment,For General Support Of The California Environmental Rights Alliance
Western Governors Foundation,https://hewlett.org/grants/western-governors-foundation-for-the-wildlife-corridors-initiative/,170000,2007-11-19,Environment,For The Wildlife Corridors Initiative
California State University at Sacramento,https://hewlett.org/grants/california-state-university-at-sacramento-for-general-support-of-the-institute-for-higher-education-leadership-and-policy/,750000,2007-11-19,Education,For General Support Of The Institute For Higher Education Leadership And Policy
Theodore Roosevelt Conservation Partnership,https://hewlett.org/grants/theodore-roosevelt-conservation-partnership-for-the-sportsmen-for-responsible-energy-development-project/,250000,2007-11-19,Environment,For The Sportsmen For Responsible Energy Development Project
Centro de Investigaciones y Estudios Superiores en Antropología Social,https://hewlett.org/grants/centro-de-investigaciones-y-estudios-superiores-en-antropologia-social-for-an-impact-evaluation-of-oportunidades-on-the-economic-prospects-of-program-scholarship-graduates/,300000,2007-11-19,Global Development and Population,For An Impact Evaluation Of Oportunidades On The Economic Prospects Of Program Scholarship Graduates
Frameline,https://hewlett.org/grants/frameline-for-general-support-0/,150000,2007-11-19,Performing Arts,For General Support
