grantee,url,amount,date,program,purpose
National Housing Institute,https://hewlett.org/grants/national-housing-institute-for-shelterforce-a-journal-used-by-nonprofit-community-based-organizations-active-in-affordable-housing-economic-development-and-related-services/,150000,2000-10-16,SF Bay Area,"For Shelterforce, A Journal Used By Nonprofit, Community-based Organizations Active In Affordable Housing, Economic Development And Related Services"
Macalester College,https://hewlett.org/grants/macalester-college-for-the-liberal-arts-institutions-program/,400000,2000-10-16,Education,For The Liberal Arts Institutions Program
Stanford University,https://hewlett.org/grants/stanford-university-for-the-research-institute-in-comparative-studies-in-race-and-ethnicity/,450000,2000-10-16,Education,For The Research Institute In Comparative Studies In Race And Ethnicity
Working Partnerships USA,https://hewlett.org/grants/working-partnerships-usa-for-the-temporary-workers-employment-project/,200000,2000-10-16,SF Bay Area,For The Temporary Workers Employment Project
José Limón Dance Foundation,https://hewlett.org/grants/jose-limon-dance-foundation-for-limon-west-0/,120000,2000-10-16,Performing Arts,For Limón West
West Africa Network for Peacebuilding,https://hewlett.org/grants/west-africa-network-for-peacebuilding-for-general-support-0/,300000,2000-10-16,Conflict Resolution Date Awarded 10/16/2000 Term 42 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Centro de Derechos Humanos y Medio Ambiente,https://hewlett.org/grants/centro-de-derechos-humanos-y-medio-ambiente-for-general-support/,200000,2000-10-16,U.S.-Latin American Relations Date Awarded 10/16/2000 Term 23 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For General Support
Community Initiatives,https://hewlett.org/grants/community-initiatives-for-the-foundation-consortium/,750000,2000-10-16,Education,For The Foundation Consortium
Fundación Mexicana para la Planeación Familiar,https://hewlett.org/grants/fundacion-mexicana-para-la-planeacion-familiar-for-general-support-0/,500000,2000-10-16,Global Development and Population,For General Support
San Francisco Bar Association,https://hewlett.org/grants/san-francisco-bar-association-for-the-family-law-advocates-program/,90000,2000-10-16,SF Bay Area,For The Family Law Advocates Program
Natural Heritage Institute,https://hewlett.org/grants/natural-heritage-institute-for-general-support/,150000,2000-10-16,Environment,For General Support
Pronatura Sonora,https://hewlett.org/grants/pronatura-sonora-for-general-support/,100000,2000-10-16,Environment,For General Support
Chinese Cultural Productions,https://hewlett.org/grants/chinese-cultural-productions-for-general-support-1/,90000,2000-10-16,Performing Arts,For General Support
Trout Unlimited,https://hewlett.org/grants/trout-unlimited-for-the-western-water-project-a-joint-venture-with-waterwatch-of-oregon/,500000,2000-10-16,Environment,"For The Western Water Project, A Joint Venture With WaterWatch Of Oregon"
Ka'ala Farm,https://hewlett.org/grants/kaala-farm-for-the-cultural-learning-center/,200000,2000-10-16,Environment,For The Cultural Learning Center
Catholic Charities of Santa Clara County,https://hewlett.org/grants/catholic-charities-of-santa-clara-county-for-the-job-market-project/,200000,2000-10-16,SF Bay Area,For The Job Market Project
Worldwatch Institute,https://hewlett.org/grants/worldwatch-institute-for-general-support-0/,300000,2000-10-16,Environment,For General Support
Trout Unlimited,https://hewlett.org/grants/trout-unlimited-for-the-western-water-project-a-joint-venture-with-waterwatch-of-oregon/,500000,2000-10-16,Environment,"For The Western Water Project, A Joint Venture With WaterWatch Of Oregon"
Ka'ala Farm,https://hewlett.org/grants/kaala-farm-for-the-cultural-learning-center/,200000,2000-10-16,Environment,For The Cultural Learning Center
Worldwatch Institute,https://hewlett.org/grants/worldwatch-institute-for-general-support-0/,300000,2000-10-16,Environment,For General Support
Alameda County Office of Education,https://hewlett.org/grants/alameda-county-office-of-education-for-the-school-district-redesign-initiative/,400000,2000-10-16,Education,For The School/District Redesign Initiative
Surface Transportation Policy Project,https://hewlett.org/grants/surface-transportation-policy-project-for-smart-growth-america/,125000,2000-10-16,Environment,For Smart Growth America
Finance Project,https://hewlett.org/grants/finance-project-for-general-support/,300000,2000-10-16,Education,For General Support
Portland State University,https://hewlett.org/grants/portland-state-university-for-the-policy-consensus-center/,285000,2000-10-16,Conflict Resolution Date Awarded 10/16/2000 Term 24 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Policy Consensus Center
Yale University,https://hewlett.org/grants/yale-university-for-the-center-for-study-of-globalization/,2000000,2000-10-16,Special Projects,For The Center For Study Of Globalization
University of Arizona,https://hewlett.org/grants/university-of-arizona-for-the-border-partners-in-action-program/,210000,2000-10-16,U.S.-Latin American Relations Date Awarded 10/16/2000 Term 24 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Border Partners In Action Program
Community Foundation Silicon Valley,https://hewlett.org/grants/community-foundation-silicon-valley-for-the-housing-trust-of-santa-clara-county/,500000,2000-10-16,SF Bay Area,For The Housing Trust Of Santa Clara County
International Development Research Centre,https://hewlett.org/grants/international-development-research-centre-for-the-international-commission-on-intervention-and-state-sovereignty/,500000,2000-10-16,Special Projects,For The International Commission On Intervention And State Sovereignty
Yale University,https://hewlett.org/grants/yale-university-for-the-center-for-study-of-globalization/,2000000,2000-10-16,Special Projects,For The Center For Study Of Globalization
Communications Consortium Media Center,https://hewlett.org/grants/communications-consortium-media-center-for-general-support/,1000000,2000-10-16,Global Development and Population,For General Support
Andrus Center for Public Policy,https://hewlett.org/grants/andrus-center-for-public-policy-for-general-support/,50000,2000-10-16,Environment,For General Support
National Alliance for Media Arts and Culture,https://hewlett.org/grants/national-alliance-for-media-arts-and-culture-for-general-support-1/,75000,2000-10-16,Performing Arts,For General Support
Portland State University,https://hewlett.org/grants/portland-state-university-for-the-policy-consensus-center/,285000,2000-10-16,Conflict Resolution Date Awarded 10/16/2000 Term 24 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Policy Consensus Center
Finance Project,https://hewlett.org/grants/finance-project-for-general-support/,300000,2000-10-16,Education,For General Support
University of Arizona,https://hewlett.org/grants/university-of-arizona-for-the-border-partners-in-action-program/,210000,2000-10-16,U.S.-Latin American Relations Date Awarded 10/16/2000 Term 24 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Border Partners In Action Program
Community Foundation Silicon Valley,https://hewlett.org/grants/community-foundation-silicon-valley-for-the-housing-trust-of-santa-clara-county/,500000,2000-10-16,SF Bay Area,For The Housing Trust Of Santa Clara County
Deutsche Stiftung Weltbevoelkerung,https://hewlett.org/grants/deutsche-stiftung-weltbevoelkerung-for-general-support-0/,1500000,2000-10-16,Global Development and Population,For General Support
Gamelan Sekar Jaya,https://hewlett.org/grants/gamelan-sekar-jaya-for-general-support-1/,80000,2000-10-16,Performing Arts,For General Support
National Public Radio,https://hewlett.org/grants/national-public-radio-for-the-california-west-coast-production-center/,1000000,2000-10-16,Special Projects,For The California-West Coast Production Center
National Family Planning & Reproductive Health Association,https://hewlett.org/grants/national-family-planning-reproductive-health-association-for-general-support-0/,1200000,2000-10-16,Global Development and Population,For General Support
Proyecto Fronterizo de Educación Ambiental,https://hewlett.org/grants/proyecto-fronterizo-de-educacion-ambiental-for-general-support/,200000,2000-10-16,U.S.-Latin American Relations Date Awarded 10/16/2000 Term 25 Months Type of Support General Support/Organization About the Grantee Grantee Website,For General Support
Zaccho SF,https://hewlett.org/grants/zaccho-sf-for-general-support-1/,90000,2000-10-16,Performing Arts,For General Support
International Planned Parenthood Federation,https://hewlett.org/grants/international-planned-parenthood-federation-for-the-european-network-0/,1350000,2000-10-16,Global Development and Population,For The European Network
Alameda County Bar Association,https://hewlett.org/grants/alameda-county-bar-association-for-the-family-advocates-law-project/,90000,2000-10-16,SF Bay Area,For The Family Advocates Law Project
Consensus Building Institute,https://hewlett.org/grants/consensus-building-institute-for-a-program-entitled-trade-and-the-environment-a-problem-solving-forum-for-the-constructive-middle/,500000,2000-10-16,Special Projects,For A Program Entitled Trade And The Environment: A Problem-solving Forum For The Constructive Middle
Population Services International,https://hewlett.org/grants/population-services-international-for-the-pakistan-program/,600000,2000-10-16,Global Development and Population,For The Pakistan Program
Academy for Educational Development,https://hewlett.org/grants/academy-for-educational-development-for-development-of-an-advocacy-strategy-and-coalition-for-universal-basic-education-in-developing-countries/,150000,2000-10-16,Global Development and Population,For Development Of An Advocacy Strategy And Coalition For Universal Basic Education In Developing Countries
California Film Institute,https://hewlett.org/grants/california-film-institute-for-general-support-1/,90000,2000-10-16,Performing Arts,For General Support
Planned Parenthood Federation of America,https://hewlett.org/grants/planned-parenthood-federation-of-america-for-family-planning-international-assistance/,1000000,2000-10-16,Global Development and Population,For Family Planning International Assistance
Roberts Foundation,https://hewlett.org/grants/roberts-foundation-for-the-roberts-enterprise-development-fund-for-the-ongoing-assessment-of-social-impact-project/,400000,2000-10-16,Effective Philanthropy,For The Roberts Enterprise Development Fund For The Ongoing Assessment Of Social Impact Project
National Family Planning & Reproductive Health Association,https://hewlett.org/grants/national-family-planning-reproductive-health-association-for-general-support-0/,1200000,2000-10-16,Global Development and Population,For General Support
Proyecto Fronterizo de Educación Ambiental,https://hewlett.org/grants/proyecto-fronterizo-de-educacion-ambiental-for-general-support/,200000,2000-10-16,U.S.-Latin American Relations Date Awarded 10/16/2000 Term 25 Months Type of Support General Support/Organization About the Grantee Grantee Website,For General Support
KQED,https://hewlett.org/grants/kqed-for-the-quiet-phase-of-the-campaign-for-the-future/,500000,2000-10-16,Special Projects,For The Quiet Phase Of The Campaign For The Future
Zaccho SF,https://hewlett.org/grants/zaccho-sf-for-general-support-1/,90000,2000-10-16,Performing Arts,For General Support
California Dispute Resolution Institute,https://hewlett.org/grants/california-dispute-resolution-institute-for-general-support-in-recognition-of-steve-tobens-service-to-the-foundation/,100000,2000-10-16,Special Projects,For General Support In Recognition Of Steve Toben's Service To The Foundation
Stanford University,https://hewlett.org/grants/stanford-university-for-a-presidential-special-projects-fund/,1000000,2000-10-16,Special Projects,For A Presidential Special Projects Fund
Goodwill Industries of the Greater East Bay,https://hewlett.org/grants/goodwill-industries-of-the-greater-east-bay-for-the-family-based-skills-project-a-job-training-program-for-low-income-working-parents/,200000,2000-10-16,SF Bay Area,"For The Family Based Skills Project, A Job Training Program For Low-income Working Parents"
Jacob's Pillow Dance Festival,https://hewlett.org/grants/jacobs-pillow-dance-festival-for-bay-area-artists-participation-0/,150000,2000-10-16,Performing Arts,For Bay Area Artists Participation
Columbia University,https://hewlett.org/grants/columbia-university-for-a-program-of-research-and-institutional-exchange-with-latin-american-partners/,100000,2000-10-16,U.S.-Latin American Relations Date Awarded 10/16/2000 Term 29 Months Type of Support General Collaborative Strategies About the Grantee Grantee Website,For A Program Of Research And Institutional Exchange With Latin American Partners
Organization for Security and Cooperation in Europe,https://hewlett.org/grants/organization-for-security-and-cooperation-in-europe-for-the-high-commissioner-on-national-minorities-programs/,250000,2000-10-16,Special Projects,For The High Commissioner On National Minorities Programs
Smuin Ballets/SF,https://hewlett.org/grants/smuin-ballets-sf-for-general-support-1/,150000,2000-10-16,Performing Arts,For General Support
Forest Trust,https://hewlett.org/grants/forest-trust-for-the-sustainable-forests-and-cultural-change-in-the-southwest-project/,50000,2000-10-16,Environment,For The Sustainable Forests And Cultural Change In The Southwest Project
Community Network for Youth Development,https://hewlett.org/grants/community-network-for-youth-development-for-the-san-francisco-beacon-initiative/,250000,2000-10-16,Education,For The San Francisco Beacon Initiative
Planned Parenthood of New York City,https://hewlett.org/grants/planned-parenthood-of-new-york-city-for-margaret-sanger-center-international/,500000,2000-10-16,Global Development and Population,For Margaret Sanger Center International
San Francisco Foundation,https://hewlett.org/grants/san-francisco-foundation-for-the-diversity-network-projects-building-coalition-capacity-program/,300000,2000-10-16,Environment,For The Diversity Network Project's Building Coalition Capacity Program
Wyoming Wildlife Federation,https://hewlett.org/grants/wyoming-wildlife-federation-for-general-support/,50000,2000-10-16,Environment,For General Support
Foundation for International Security,https://hewlett.org/grants/foundation-for-international-security-for-general-support/,200000,2000-10-16,"Conflict Resolution Date Awarded 10/16/2000 Term 20 Months Type of Support General Support/Organization Strategies About the Grantee Address The Rookery Adderbury Banbury, Oxfordshire, England OX17 3NA United Kingdom Grants to this Grantee Apr 15, 2002 $100,000 for general",For General Support
Partners for Democratic Change,https://hewlett.org/grants/partners-for-democratic-change-for-the-practitioners-research-and-writing-institute/,250000,2000-10-16,Conflict Resolution Date Awarded 10/16/2000 Term 31 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Practitioners Research And Writing Institute
Occidental College,https://hewlett.org/grants/occidental-college-for-the-liberal-arts-institutions-program/,400000,2000-10-16,Education,For The Liberal Arts Institutions Program
WestEd,https://hewlett.org/grants/wested-for-the-strategic-literacy-initiative/,200000,2000-10-16,Education,For The Strategic Literacy Initiative
Association of Independent California Colleges and Universities,https://hewlett.org/grants/association-of-independent-california-colleges-and-universities-for-the-joint-committee-to-develop-a-master-plan-for-education-k18/,250000,2000-10-16,Education,For The Joint Committee To Develop A Master Plan For Education: K18
Nature Conservancy,https://hewlett.org/grants/nature-conservancy-for-the-community-based-ahupuaa-stewardship-project-at-puuwaawaa-on-the-island-of-hawaii/,50000,2000-10-16,Environment,For The Community-based Ahupua‘a Stewardship Project At Pu‘uwa‘awa‘a On The Island Of Hawaii
Simmons College,https://hewlett.org/grants/simmons-college-for-the-building-alliances-across-differences-program-initiative/,250000,2000-10-16,Special Projects,For The Building Alliances Across Differences Program Initiative
Smuin Ballets/SF,https://hewlett.org/grants/smuin-ballets-sf-for-general-support-1/,150000,2000-10-16,Performing Arts,For General Support
Forest Trust,https://hewlett.org/grants/forest-trust-for-the-sustainable-forests-and-cultural-change-in-the-southwest-project/,50000,2000-10-16,Environment,For The Sustainable Forests And Cultural Change In The Southwest Project
Community Network for Youth Development,https://hewlett.org/grants/community-network-for-youth-development-for-the-san-francisco-beacon-initiative/,250000,2000-10-16,Education,For The San Francisco Beacon Initiative
Foundation for International Security,https://hewlett.org/grants/foundation-for-international-security-for-general-support/,200000,2000-10-16,"Conflict Resolution Date Awarded 10/16/2000 Term 20 Months Type of Support General Support/Organization Strategies About the Grantee Address The Rookery Adderbury Banbury, Oxfordshire, England OX17 3NA United Kingdom Grants to this Grantee Apr 15, 2002 $100,000 for general",For General Support
Urban Ecology,https://hewlett.org/grants/urban-ecology-for-creating-socially-equitable-and-environmentally-sustainable-urban-communities-in-the-bay-area/,150000,2000-10-16,Environment,For Creating Socially Equitable And Environmentally Sustainable Urban Communities In The Bay Area
Indian Law Resource Center,https://hewlett.org/grants/indian-law-resource-center-for-general-support/,250000,2000-10-16,Environment,For General Support
Institute for Higher Education Policy,https://hewlett.org/grants/institute-for-higher-education-policy-for-research-on-the-student-credit-hour-as-the-dominant-metric-in-higher-education/,285000,2000-10-16,Education,For Research On The Student Credit Hour As The Dominant Metric In Higher Education
Tides Center,https://hewlett.org/grants/tides-center-for-the-resources-for-community-collaboration-2001-conference/,75000,2000-10-13,Environment,For The Resources For Community Collaboration 2001 Conference
