grantee,url,amount,date,program,purpose
Woodrow Wilson International Center for Scholars,https://hewlett.org/grants/woodrow-wilson-international-center-for-scholars-for-educating-policymakers-and-their-staff-about-trade-and-development-0/,175000,2010-12-10,Special Projects,For Educating Policymakers And Their Staff About Trade And Development
SeaWeb,https://hewlett.org/grants/seaweb-for-the-philanthropy-awareness-initiative/,100000,2010-12-10,Special Projects,For The Philanthropy Awareness Initiative
Resources Legacy Fund,https://hewlett.org/grants/resources-legacy-fund-for-an-economic-analysis-of-bay-area-salt-pond-restoration-and-flood-protection-improvements/,42000,2010-12-10,Special Projects,For An Economic Analysis Of Bay Area Salt Pond Restoration And Flood Protection Improvements
David and Lucile Packard Foundation,https://hewlett.org/grants/david-and-lucile-packard-foundation-for-support-of-the-improving-family-planning-and-reproductive-health-development-cooperation-project/,400000,2010-12-07,Global Development and Population,For Support Of The Improving Family Planning And Reproductive Health Development Cooperation Project
InterAction American Council for Voluntary International Action,https://hewlett.org/grants/interaction-american-council-for-voluntary-international-action-for-a-project-to-reform-u-s-foreign-assistance-0/,275000,2010-12-06,Global Development and Population,For A Project To Reform U.S. Foreign Assistance
China Arms Control and Disarmament Association,https://hewlett.org/grants/china-arms-control-and-disarmament-association-for-a-conference-to-explore-the-implications-of-reprocessing-in-asia/,40000,2010-12-03,Initiatives,For A Conference To Explore The Implications Of Reprocessing In Asia
Native Movement,https://hewlett.org/grants/native-movement-for-the-black-mesa-water-coalition-project/,40000,2010-12-02,Environment,For The Black Mesa Water Coalition Project
Sonora Ciudadana,https://hewlett.org/grants/sonora-ciudadana-for-general-operating-support/,290000,2010-12-02,Global Development and Population,For General Operating Support
Foundation Center,https://hewlett.org/grants/foundation-center-for-the-videoconferencing-project/,55566,2010-12-01,Effective Philanthropy,For The Videoconferencing Project
North American Council for Online Learning,https://hewlett.org/grants/north-american-council-for-online-learning-for-a-coalition-around-uses-of-federal-education-stimulus-funding-for-oer-adoption-0/,315000,2010-12-01,Education,For A Coalition Around Uses Of Federal Education Stimulus Funding For OER Adoption
Stanford University,https://hewlett.org/grants/stanford-university-for-the-cisac-project-on-u-s-russian-ballistic-missile-defense/,140000,2010-12-01,Initiatives,For The CISAC Project On U.S.-Russian Ballistic Missile Defense
International Planned Parenthood Federation Worldwide,https://hewlett.org/grants/international-planned-parenthood-federation-worldwide-for-the-safe-abortion-action-fund/,75000,2010-12-01,Global Development and Population,For The Safe Abortion Action Fund
Foundation Center,https://hewlett.org/grants/foundation-center-for-a-project-to-develop-a-common-data-standard-with-the-international-aid-transparency-initiative/,250000,2010-12-01,Global Development and Population,For A Project To Develop A Common Data Standard With The International Aid Transparency Initiative
"American Clean Skies Foundation, Inc.",https://hewlett.org/grants/american-clean-skies-foundation-inc-for-suppport-of-the-clean-power-regulatory-workshop/,50000,2010-12-01,Environment,For Suppport Of The Clean Power Regulatory Workshop
Centro de Investigación y Docencia Económicas,https://hewlett.org/grants/centro-de-investigacion-y-docencia-economicas-for-a-research-analysis-and-dissemination-project-on-transparency-and-accountability-in-mexico/,400000,2010-11-30,Global Development and Population,"For A Research, Analysis, And Dissemination Project On Transparency And Accountability In Mexico"
Center for Strategic and International Studies,https://hewlett.org/grants/center-for-strategic-and-international-studies-for-a-project-to-explore-the-united-states-approach-to-technical-cooperation-agreements/,80000,2010-11-30,Initiatives,For A Project To Explore The United States’ Approach To Technical Cooperation Agreements
City of San Jose,https://hewlett.org/grants/city-of-san-jose-for-the-new-pathways-for-the-arts-initiative/,25000,2010-11-30,Performing Arts,For The New Pathways For The Arts Initiative
Keystone Center,https://hewlett.org/grants/keystone-center-for-developing-an-education-policy-roundtable/,25000,2010-11-30,Education,For Developing An Education Policy Roundtable
Southern Alliance for Clean Energy,https://hewlett.org/grants/southern-alliance-for-clean-energy-for-work-on-coal-retirement-in-the-southern-united-states/,200000,2010-11-30,Environment,For Work On Coal Retirement In The Southern United States
WNET,https://hewlett.org/grants/wnet-for-the-international-summit-on-the-future-of-the-teaching-profession/,50000,2010-11-30,Education,For The International Summit On The Future Of The Teaching Profession
Oeuvre Malienne d'Aide à l'Enfance du Sahel,https://hewlett.org/grants/oeuvre-malienne-daide-a-lenfance-du-sahel-for-the-preparatory-phase-of-a-civil-society-initiative-to-assess-student-learning-in-mali/,307000,2010-11-30,Global Development and Population,For The Preparatory Phase Of A Civil Society Initiative To Assess Student Learning In Mali
U.S. Department of Education,https://hewlett.org/grants/u-s-department-of-education-for-assessment-development-to-measure-knowledge-and-skills-against-college-and-career-ready-standards/,182000,2010-11-30,Education,For Assessment Development To Measure Knowledge And Skills Against College And Career-ready Standards
"API Cultural Center, Inc.",https://hewlett.org/grants/api-cultural-center-inc-for-general-operating-support/,45000,2010-11-30,Performing Arts,For General Operating Support
Earthworks,https://hewlett.org/grants/earthworks-for-support-of-the-national-peoples-oil-and-gas-summit/,20000,2010-11-30,Environment,For Support Of The National People's Oil And Gas Summit
University of Ghana,https://hewlett.org/grants/university-of-ghana-for-the-videoconferencing-project/,40000,2010-11-30,Global Development and Population,For The Videoconferencing Project
Carter Center,https://hewlett.org/grants/carter-center-for-finalizing-and-disseminating-an-access-to-information-legislation-implementation-assessment-tool/,115000,2010-11-30,Global Development and Population,For Finalizing And Disseminating An Access To Information Legislation Implementation Assessment Tool
Guttmacher Institute,https://hewlett.org/grants/guttmacher-institute-for-documenting-the-cost-of-unsafe-abortion-in-rwanda/,200000,2010-11-24,Global Development and Population,For Documenting The Cost Of Unsafe Abortion In Rwanda
"Ceres, Inc.",https://hewlett.org/grants/ceres-inc-for-leveraging-the-insurance-industry-to-promote-climate-and-clean-energy-goals/,27700,2010-11-24,Environment,For Leveraging The Insurance Industry To Promote Climate And Clean Energy Goals
Aspen Institute,https://hewlett.org/grants/aspen-institute-for-a-project-to-examine-the-effectiveness-of-u-s-foreign-assistance-in-insecure-countries/,25000,2010-11-24,Global Development and Population,For A Project To Examine The Effectiveness Of U.S. Foreign Assistance In Insecure Countries
Northern California Community Loan Fund,https://hewlett.org/grants/northern-california-community-loan-fund-for-the-nonprofit-space-capital-fund/,40000,2010-11-24,Performing Arts,For The Nonprofit Space Capital Fund
GiveWell,https://hewlett.org/grants/givewell-for-general-operating-support-0/,60000,2010-11-24,Effective Philanthropy,For General Operating Support
National Governors Association Center for Best Practices,https://hewlett.org/grants/national-governors-association-center-for-best-practices-for-development-of-an-issue-brief-and-toolkit-for-policymakers-to-support-common-core-standards/,50000,2010-11-24,Education,For Development Of An Issue Brief And Toolkit For Policymakers To Support Common Core Standards
American Composers Forum of San Francisco,https://hewlett.org/grants/american-composers-forum-of-san-francisco-for-transitional-support/,40000,2010-11-24,Performing Arts,For Transitional Support
Chhandam Chitresh Das Dance Company,https://hewlett.org/grants/chhandam-chitresh-das-dance-company-for-a-marketing-and-communications-strategy-plan/,25000,2010-11-24,Performing Arts,For A Marketing And Communications Strategy Plan
Stanford University,https://hewlett.org/grants/stanford-university-for-strategic-communications-planning-for-the-center-on-philanthropy-and-civil-society/,20000,2010-11-24,Effective Philanthropy,For Strategic Communications Planning For The Center On Philanthropy And Civil Society
Centro de Investigación y Docencia Económicas,https://hewlett.org/grants/centro-de-investigacion-y-docencia-economicas-for-fostering-the-use-of-collective-actions-in-mexico-through-public-interest-litigation/,70000,2010-11-24,Global Development and Population,For Fostering The Use Of Collective Actions In Mexico Through Public Interest Litigation
Knights of Indulgence Theatre United States,https://hewlett.org/grants/knights-of-indulgence-theatre-united-states-for-general-operating-support/,30000,2010-11-24,Performing Arts,For General Operating Support
Harvard University,https://hewlett.org/grants/harvard-university-for-principal-investigators-of-the-goodwork-project-to-discuss-their-findings-and-next-steps/,21000,2010-11-24,Special Projects,For Principal Investigators Of The GoodWork Project To Discuss Their Findings And Next Steps
GreatNonprofits,https://hewlett.org/grants/greatnonprofits-for-general-operating-support-0/,60000,2010-11-24,Effective Philanthropy,For General Operating Support
Population Reference Bureau,https://hewlett.org/grants/population-reference-bureau-for-communication-and-dissemination-of-population-poverty-research/,400000,2010-11-24,Global Development and Population,For Communication And Dissemination Of Population-poverty Research
WestEd,https://hewlett.org/grants/wested-for-a-deeper-learning-curriculum-and-teacher-professional-development-market-scan-0/,35000,2010-11-24,Education,For A Deeper Learning Curriculum And Teacher Professional Development Market Scan
Instituto de Energia e Meio Ambiente,https://hewlett.org/grants/instituto-de-energia-e-meio-ambiente-for-strategic-planning-to-improve-their-work-on-sustainable-and-clean-transportation/,50000,2010-11-24,Environment,For Strategic Planning To Improve Their Work On Sustainable And Clean Transportation
Sustainable Northwest,https://hewlett.org/grants/sustainable-northwest-for-general-operating-support-0/,30000,2010-11-24,Environment,For General Operating Support
Northeast States for Coordinated Air Use Management,https://hewlett.org/grants/northeast-states-for-coordinated-air-use-management-for-the-endicott-house-symposium-on-urban-transportation/,25000,2010-11-23,Environment,For The Endicott House Symposium On Urban Transportation
San Francisco Film Society,https://hewlett.org/grants/san-francisco-film-society-for-disseminating-award-winning-documentary-presumed-guilty-to-targeted-audiences-in-mexico/,25000,2010-11-23,Global Development and Population,For Disseminating Award-winning Documentary Presumed Guilty To Targeted Audiences In Mexico
Theatre Bay Area,https://hewlett.org/grants/theatre-bay-area-for-the-leveraging-social-media-2-0-project/,40000,2010-11-19,Performing Arts,For The Leveraging Social Media 2.0 Project
Governors' Biofuels Coalition,https://hewlett.org/grants/governors-biofuels-coalition-for-the-renewable-transportation-fuels-in-transition-project/,50000,2010-11-19,Environment,For The Renewable Transportation Fuels In Transition Project
Partnership for Public Service,https://hewlett.org/grants/partnership-for-public-service-for-strategic-business-planning/,60000,2010-11-19,Special Projects,For Strategic Business Planning
"Center on Race, Poverty and the Environment",https://hewlett.org/grants/center-on-race-poverty-and-the-environment-for-strategic-communications-planning/,26400,2010-11-19,Environment,For Strategic Communications Planning
Grantmakers for Education,https://hewlett.org/grants/grantmakers-for-education-for-the-development-of-tools-and-services-in-support-of-education-grantmakers/,75000,2010-11-19,Education,For The Development Of Tools And Services In Support Of Education Grantmakers
Wilderness Society,https://hewlett.org/grants/wilderness-society-for-staff-development/,50000,2010-11-18,Environment,For Staff Development
Security Council Report,https://hewlett.org/grants/security-council-report-for-fundraising-planning/,40000,2010-11-18,Special Projects,For Fundraising Planning
Robert Moses' Kin,https://hewlett.org/grants/robert-moses-kin-for-strategic-planning/,20000,2010-11-18,Performing Arts,For Strategic Planning
Catholics for Choice,https://hewlett.org/grants/catholics-for-choice-for-strengthening-evaluation-systems/,43000,2010-11-18,Global Development and Population,For Strengthening Evaluation Systems
Theatre Bay Area,https://hewlett.org/grants/theatre-bay-area-for-the-videoconferencing-project/,19430,2010-11-18,Performing Arts,For The Videoconferencing Project
U C Davis Foundation,https://hewlett.org/grants/u-c-davis-foundation-for-the-arthur-h-rosenfeld-endowed-chair-in-energy-efficiency/,25000,2010-11-18,Environment,For The Arthur H. Rosenfeld Endowed Chair In Energy Efficiency
Sierra Club Foundation,https://hewlett.org/grants/sierra-club-foundation-for-the-sierra-clubs-natural-gas-regulation-project/,150000,2010-11-16,Environment,For The Sierra Club's Natural Gas Regulation Project
Southeast Energy Efficiency Alliance,https://hewlett.org/grants/southeast-energy-efficiency-alliance-for-work-with-the-tennessee-valley-authority-and-to-promote-renewable-energy-in-the-southeast/,100000,2010-11-16,Environment,For Work With The Tennessee Valley Authority And To Promote Renewable Energy In The Southeast
Mongolian American Scientific Research Center,https://hewlett.org/grants/mongolian-american-scientific-research-center-for-a-workshop-to-explore-a-mongolian-led-multinational-nuclear-arrangement-for-northeast-asia/,75000,2010-11-16,Initiatives,For A Workshop To Explore A Mongolian-led Multinational Nuclear Arrangement For Northeast Asia
EastSide Arts Alliance,https://hewlett.org/grants/eastside-arts-alliance-for-general-operating-support/,120000,2010-11-15,Performing Arts,For General Operating Support
Harvard University,https://hewlett.org/grants/harvard-university-for-implementing-and-evaluating-the-impact-of-a-peer-to-peer-teaching-model-in-kenya/,265000,2010-11-15,Global Development and Population,For Implementing And Evaluating The Impact Of A Peer-to-peer Teaching Model In Kenya
Front Range Economic Strategy Center,https://hewlett.org/grants/front-range-economic-strategy-center-for-support-of-a-new-energy-economy-in-colorado-program/,80000,2010-11-15,Environment,For Support Of A New Energy Economy In Colorado Program
University of Cape Town,https://hewlett.org/grants/university-of-cape-town-for-support-of-the-centre-of-actuarial-researchs-care-population-science-training-program/,500000,2010-11-15,Global Development and Population,For Support Of The Centre Of Actuarial Research's (CARe) Population Science Training Program
Tides Foundation,https://hewlett.org/grants/tides-foundation-for-reducing-the-environmental-impacts-of-oil-and-gas-development-in-northern-canada-1/,2000000,2010-11-15,Environment,For Reducing The Environmental Impacts Of Oil And Gas Development In Northern Canada
International Initiative for Impact Evaluation,https://hewlett.org/grants/international-initiative-for-impact-evaluation-for-general-operating-support-0/,2000000,2010-11-15,Global Development and Population,For General Operating Support
International Crisis Group,https://hewlett.org/grants/international-crisis-group-for-general-operating-support/,300000,2010-11-15,Special Projects,For General Operating Support
Center for American Progress,https://hewlett.org/grants/center-for-american-progress-for-an-effort-to-reform-u-s-foreign-aid-to-ensure-the-foreign-policy-goal-of-sustainable-security-0/,300000,2010-11-15,Global Development and Population,For An Effort To Reform U.S. Foreign Aid To Ensure The Foreign Policy Goal Of Sustainable Security
Walter and Elise Haas Fund,https://hewlett.org/grants/walter-and-elise-haas-fund-for-support-of-the-creative-work-fund/,510000,2010-11-15,Performing Arts,For Support Of The Creative Work Fund
"NEO Philanthropy, Inc.",https://hewlett.org/grants/neo-philanthropy-inc-for-the-california-communities-for-public-education-reform-project/,500000,2010-11-15,Education,For The California Communities For Public Education Reform Project
Association pour le Développement de la Langue Saafi (ADLAS),https://hewlett.org/grants/association-pour-le-developpement-de-la-langue-saafi-adlas-for-support-of-mother-tongue-reading-and-math-instruction-in-senegal-with-transitional-support/,850000,2010-11-15,Global Development and Population,For Support Of Mother Tongue Reading And Math Instruction In Senegal With Transitional Support
International Planned Parenthood Federation Worldwide,https://hewlett.org/grants/international-planned-parenthood-federation-worldwide-for-general-operating-support/,6565000,2010-11-15,Global Development and Population,For General Operating Support
Partners in Population and Development,https://hewlett.org/grants/partners-in-population-and-development-for-building-the-capacity-of-african-policymakers-for-reproductive-health-issues/,2100000,2010-11-15,Global Development and Population,For Building The Capacity Of African Policymakers For Reproductive Health Issues
Brookings Institution,https://hewlett.org/grants/brookings-institution-for-general-support-of-the-global-economy-and-development-program-1/,1200000,2010-11-15,Global Development and Population,For General Support Of The Global Economy And Development Program
Educause,https://hewlett.org/grants/educause-for-the-launch-of-the-next-generation-learning-challenges/,1000000,2010-11-15,Education,For The Launch Of The Next Generation Learning Challenges
Non-Profit Housing Association of Northern California,https://hewlett.org/grants/non-profit-housing-association-of-northern-california-for-the-sustainable-communities-strategies-campaign/,85000,2010-11-15,Environment,For The Sustainable Communities Strategies Campaign
Foundation for California Community Colleges,https://hewlett.org/grants/foundation-for-california-community-colleges-for-the-learningworks-project/,1944000,2010-11-15,Education,For The LearningWorks Project
Innovations for Poverty Action,https://hewlett.org/grants/innovations-for-poverty-action-for-evaluating-a-remedial-education-program-in-ghana/,250000,2010-11-15,Global Development and Population,For Evaluating A Remedial Education Program In Ghana
Performing Arts Workshop,https://hewlett.org/grants/performing-arts-workshop-for-general-operating-support/,210000,2010-11-15,Performing Arts,For General Operating Support
Communities for a Better Environment,https://hewlett.org/grants/communities-for-a-better-environment-for-the-goods-movement-campaign/,75000,2010-11-15,Environment,For The Goods Movement Campaign
Aspen Institute,https://hewlett.org/grants/aspen-institute-for-establishment-of-the-transfarm-africa-policy-network-on-agriculture-trade-and-food-security/,1350000,2010-11-15,Global Development and Population,"For Establishment Of The TransFarm Africa Policy Network On Agriculture, Trade, And Food Security"
World Neighbors,https://hewlett.org/grants/world-neighbors-for-general-operating-support-0/,150000,2010-11-15,Global Development and Population,For General Operating Support
"Tostan, Inc.",https://hewlett.org/grants/tostan-inc-for-empowering-communities-to-play-a-central-role-in-improving-childrens-learning-achievement/,3814000,2010-11-15,Global Development and Population,For Empowering Communities To Play A Central Role In Improving Children’s Learning Achievement
Rockefeller Philanthropy Advisors,https://hewlett.org/grants/rockefeller-philanthropy-advisors-for-the-california-policy-infrastructure-project/,1500000,2010-11-15,Education,For The California Policy Infrastructure Project
Global Integrity,https://hewlett.org/grants/global-integrity-for-examining-municipal-state-relations-affecting-budget-transparency-and-foia-in-mexico/,450000,2010-11-15,Global Development and Population,For Examining Municipal-state Relations Affecting Budget Transparency And FOIA In Mexico
Alameda County Office of Education,https://hewlett.org/grants/alameda-county-office-of-education-for-support-of-the-alliance-for-arts-learning-leadership/,600000,2010-11-15,Performing Arts,For Support Of The Alliance For Arts Learning Leadership
WELC,https://hewlett.org/grants/welc-for-the-western-wildlife-corridor-project-0/,65000,2010-11-15,Environment,For The Western Wildlife Corridor Project
California Forward,https://hewlett.org/grants/california-forward-for-general-operating-support/,6000000,2010-11-15,Special Projects,For General Operating Support
CUTS Geneva Resource Centre,https://hewlett.org/grants/cuts-geneva-resource-centre-for-the-implementation-of-the-fostering-equitable-agricultural-development-project-in-e-africa/,600000,2010-11-15,Global Development and Population,For The Implementation Of The Fostering Equitable Agricultural Development Project In E. Africa
Oriki Theater,https://hewlett.org/grants/oriki-theater-for-general-operating-support/,75000,2010-11-15,Performing Arts,For General Operating Support
New Venture Fund,https://hewlett.org/grants/new-venture-fund-for-support-of-the-western-land-water-and-clean-energy-initiative/,400000,2010-11-15,Environment,"For Support Of The Western Land, Water And Clean Energy Initiative"
Ibis Reproductive Health,https://hewlett.org/grants/ibis-reproductive-health-for-support-of-the-oral-contraceptives-over-the-counter-project-0/,350000,2010-11-15,Global Development and Population,For Support Of The Oral Contraceptives Over-the-Counter Project
CounterPulse,https://hewlett.org/grants/counterpulse-for-general-operating-support/,210000,2010-11-15,Performing Arts,For General Operating Support
Education Resource Strategies,https://hewlett.org/grants/education-resource-strategies-for-the-videoconferencing-project/,20000,2010-11-15,Education,For The Videoconferencing Project
Center for Investigative Reporting,https://hewlett.org/grants/center-for-investigative-reporting-for-the-california-schools-report-card-project/,400000,2010-11-15,Education,For The California Schools Report Card Project
High Tech High Foundation,https://hewlett.org/grants/high-tech-high-foundation-for-a-paper-on-teacher-evaluation-for-deeper-learning/,25000,2010-11-15,Education,For A Paper On Teacher Evaluation For Deeper Learning
High Tech High Foundation,https://hewlett.org/grants/high-tech-high-foundation-for-a-paper-on-teacher-evaluation-for-deeper-learning/,25000,2010-11-15,Education,For A Paper On Teacher Evaluation For Deeper Learning
Instituto Mexicano para la Competitividad,https://hewlett.org/grants/instituto-mexicano-para-la-competitividad-for-general-operating-support/,1800000,2010-11-15,Global Development and Population,For General Operating Support
Monterey Institute for Technology and Education,https://hewlett.org/grants/monterey-institute-for-technology-and-education-for-oer-developmental-math-courses-for-community-colleges/,1200000,2010-11-15,Education,For OER Developmental Math Courses For Community Colleges
National Public Radio,https://hewlett.org/grants/national-public-radio-for-general-operating-support-0/,600000,2010-11-15,Special Projects,For General Operating Support
Greenbelt Alliance,https://hewlett.org/grants/greenbelt-alliance-for-promoting-equitable-sustainable-growth-in-the-bay-area-0/,235000,2010-11-15,Environment,"For Promoting Equitable, Sustainable Growth In The Bay Area"
Institute for Evidence-Based Change,https://hewlett.org/grants/institute-for-evidence-based-change-for-general-operating-support/,700000,2010-11-15,Education,For General Operating Support
CUTS Geneva Resource Centre,https://hewlett.org/grants/cuts-geneva-resource-centre-for-the-implementation-of-the-fostering-equitable-agricultural-development-project-in-e-africa/,600000,2010-11-15,Global Development and Population,For The Implementation Of The Fostering Equitable Agricultural Development Project In E. Africa
CounterPulse,https://hewlett.org/grants/counterpulse-for-general-operating-support/,210000,2010-11-15,Performing Arts,For General Operating Support
Education Resource Strategies,https://hewlett.org/grants/education-resource-strategies-for-the-videoconferencing-project/,20000,2010-11-15,Education,For The Videoconferencing Project
Western Resource Advocates,https://hewlett.org/grants/western-resource-advocates-for-support-of-the-energy-program-and-implementation-of-clean-energy-policies/,200000,2010-11-15,Environment,For Support Of The Energy Program And Implementation Of Clean Energy Policies
Bread for the World Institute,https://hewlett.org/grants/bread-for-the-world-institute-for-support-of-the-modernizing-foreign-assistance-network/,1550000,2010-11-15,Global Development and Population,For Support Of The Modernizing Foreign Assistance Network
"Fundar, Centro de Análisis e Investigación",https://hewlett.org/grants/fundar-centro-de-analisis-e-investigacion-for-general-operating-support/,700000,2010-11-15,Global Development and Population,For General Operating Support
Na Lei Hulu I Ka Wekiu Hula Halau,https://hewlett.org/grants/na-lei-hulu-i-ka-wekiu-hula-halau-for-general-operating-support/,90000,2010-11-15,Performing Arts,For General Operating Support
Wallace Alexander Gerbode Foundation,https://hewlett.org/grants/wallace-alexander-gerbode-foundation-for-support-of-the-commissioning-program/,500000,2010-11-15,Performing Arts,For Support Of The Commissioning Program
Stanford University,https://hewlett.org/grants/stanford-university-for-the-managing-global-insecurity-project-0/,180000,2010-11-15,Special Projects,For The Managing Global Insecurity Project
Tides Center,https://hewlett.org/grants/tides-center-for-support-of-the-africa-grantmakers-affinity-group/,20000,2010-11-15,Global Development and Population,For Support Of The Africa Grantmakers' Affinity Group
Marin Symphony Association,https://hewlett.org/grants/marin-symphony-association-for-general-operating-support/,120000,2010-11-15,Performing Arts,For General Operating Support
Duke University,https://hewlett.org/grants/duke-university-for-general-support-of-the-duke-foundation-research-program-0/,300000,2010-11-15,Effective Philanthropy,For General Support Of The Duke Foundation Research Program
"Teachers College, Columbia University",https://hewlett.org/grants/teachers-college-columbia-university-for-a-study-of-reforms-to-increase-college-completion-of-underprepared-community-college-students/,200000,2010-11-15,Education,For A Study Of Reforms To Increase College Completion Of Underprepared Community College Students
World Wide Web Foundation,https://hewlett.org/grants/world-wide-web-foundation-for-developing-a-flexible-data-collection-tool-for-users-in-developing-countries/,100000,2010-11-15,Global Development and Population,For Developing A Flexible Data Collection Tool For Users In Developing Countries
ODC,https://hewlett.org/grants/odc-for-general-operating-support/,400000,2010-11-15,Performing Arts,For General Operating Support
Duke University,https://hewlett.org/grants/duke-university-for-general-support-of-the-duke-foundation-research-program-0/,300000,2010-11-15,Effective Philanthropy,For General Support Of The Duke Foundation Research Program
"Teachers College, Columbia University",https://hewlett.org/grants/teachers-college-columbia-university-for-a-study-of-reforms-to-increase-college-completion-of-underprepared-community-college-students/,200000,2010-11-15,Education,For A Study Of Reforms To Increase College Completion Of Underprepared Community College Students
TransFormCA,https://hewlett.org/grants/transformca-for-implementation-of-sustainable-communities-strategies-and-work-on-greenhouse-gas-reductions/,700000,2010-11-15,Environment,For Implementation Of Sustainable Communities Strategies And Work On Greenhouse Gas Reductions
World Wide Web Foundation,https://hewlett.org/grants/world-wide-web-foundation-for-developing-a-flexible-data-collection-tool-for-users-in-developing-countries/,100000,2010-11-15,Global Development and Population,For Developing A Flexible Data Collection Tool For Users In Developing Countries
Carnegie Foundation for the Advancement of Teaching,https://hewlett.org/grants/carnegie-foundation-for-the-advancement-of-teaching-for-research-and-development-efforts-aimed-at-developmental-mathematics-education-1/,1185000,2010-11-15,Education,For Research And Development Efforts Aimed At Developmental Mathematics Education
International Union for the Scientific Study of Population,https://hewlett.org/grants/international-union-for-the-scientific-study-of-population-for-a-project-to-develop-policy-relevant-population-sciences/,400000,2010-11-15,Global Development and Population,For A Project To Develop Policy-relevant Population Sciences
Diablo Regional Arts Association,https://hewlett.org/grants/diablo-regional-arts-association-for-general-operating-support/,105000,2010-11-15,Performing Arts,For General Operating Support
Meridian Institute,https://hewlett.org/grants/meridian-institute-for-phase-i-implementation-of-the-foundation-working-group-on-food-and-agriculture-policy-initiative/,400000,2010-11-15,Global Development and Population,For Phase I Implementation Of The Foundation Working Group On Food And Agriculture Policy Initiative
Oxfam America,https://hewlett.org/grants/oxfam-america-for-civil-society-to-participate-in-developing-a-transparent-system-for-managing-ghanas-oil-wealth-0/,500000,2010-11-15,Global Development and Population,For Civil Society To Participate In Developing A Transparent System For Managing Ghana's Oil Wealth
Ballet San Jose Silicon Valley,https://hewlett.org/grants/ballet-san-jose-silicon-valley-for-education-and-outreach-programs/,90000,2010-11-15,Performing Arts,For Education And Outreach Programs
Calvert Social Investment Foundation,https://hewlett.org/grants/calvert-social-investment-foundation-for-general-operating-support/,2700000,2010-11-15,Global Development and Population,For General Operating Support
Asian Pacific Environmental Network,https://hewlett.org/grants/asian-pacific-environmental-network-for-support-of-the-power-in-asians-organizing-program/,85000,2010-11-15,Environment,For Support Of The Power In Asians Organizing Program
Energy Foundation,https://hewlett.org/grants/energy-foundation-for-the-clean-cars-in-california-project/,275000,2010-11-15,Environment,For The Clean Cars In California Project
Pacific Council on International Policy,https://hewlett.org/grants/pacific-council-on-international-policy-for-general-operating-support-0/,100000,2010-11-15,Special Projects,For General Operating Support
"El Poder del Consumidor, A.C.",https://hewlett.org/grants/el-poder-del-consumidor-a-c-for-a-project-to-promote-the-benefits-of-clean-transportation-systems-in-mexicos-largest-cities/,150000,2010-11-15,Environment,For A Project To Promote The Benefits Of Clean Transportation Systems In Mexico's Largest Cities
Alliance Publishing Trust,https://hewlett.org/grants/alliance-publishing-trust-for-the-support-of-free-access-of-alliance-magazine-content/,10000,2010-11-15,Effective Philanthropy,For The Support Of Free Access Of Alliance Magazine Content
"Centro de Investigación para el Desarrollo, Asociación Civil",https://hewlett.org/grants/centro-de-investigacion-para-el-desarrollo-asociacion-civil-for-general-operating-support/,500000,2010-11-15,Global Development and Population,For General Operating Support
San Jose Mercury News Wish Book Fund,https://hewlett.org/grants/san-jose-mercury-news-wish-book-fund-for-general-operating-support-0/,20000,2010-11-15,Special Projects,For General Operating Support
FinalsClub.org,https://hewlett.org/grants/finalsclub-org-for-expansion-of-the-finalsclub-oer-platform/,152000,2010-11-15,Education,For Expansion Of The FinalsClub OER Platform
Rice University,https://hewlett.org/grants/rice-university-to-create-twenty-free-community-college-textbooks/,1650000,2010-11-15,Education,To Create Twenty Free Community College Textbooks
Center for Cultural Innovation,https://hewlett.org/grants/center-for-cultural-innovation-for-the-next-generation-arts-leadership-initiative-0/,120000,2010-11-15,Performing Arts,For The Next Generation Arts Leadership Initiative
"Centro de Investigación para el Desarrollo, Asociación Civil",https://hewlett.org/grants/centro-de-investigacion-para-el-desarrollo-asociacion-civil-for-general-operating-support/,500000,2010-11-15,Global Development and Population,For General Operating Support
San Jose Mercury News Wish Book Fund,https://hewlett.org/grants/san-jose-mercury-news-wish-book-fund-for-general-operating-support-0/,20000,2010-11-15,Special Projects,For General Operating Support
Aspen Global Change Institute,https://hewlett.org/grants/aspen-global-change-institute-for-general-operating-support/,100000,2010-11-15,Environment,For General Operating Support
National Wildlife Federation,https://hewlett.org/grants/national-wildlife-federation-for-support-of-the-public-lands-program/,250000,2010-11-15,Environment,For Support Of The Public Lands Program
Mango Tree Educational Enterprises,https://hewlett.org/grants/mango-tree-educational-enterprises-for-supporting-students-to-transition-from-lango-reading-fluency-to-english-reading-fluency/,63500,2010-11-15,Global Development and Population,For Supporting Students To Transition From Lango Reading Fluency To English Reading Fluency
Foundation Center,https://hewlett.org/grants/foundation-center-for-the-foundation-center-to-increase-and-improve-the-distribution-of-nonprofit-research/,325000,2010-11-15,Effective Philanthropy,For The Foundation Center To Increase And Improve The Distribution Of Nonprofit Research
National Security Initiative,https://hewlett.org/grants/national-security-initiative-for-general-operating-support-0/,300000,2010-11-15,Initiatives,For General Operating Support
Theatre of Yugen,https://hewlett.org/grants/theatre-of-yugen-for-general-operating-support/,70000,2010-11-15,Performing Arts,For General Operating Support
Reproductive Health Matters,https://hewlett.org/grants/reproductive-health-matters-for-the-charitable-purposes-of-the-reproductive-health-matters-journal/,500000,2010-11-15,Global Development and Population,For The Charitable Purposes Of The Reproductive Health Matters Journal
